code,1,17,51,46,45,44,43,5,6,25,22,14,20,7,32,24,9,8,49,33,29,23,16,15
adi,1.04561,0.11618,-0.81326,1.04561,0.11618,-1.74269,-1.74269,0.11618,0.11618,0.11618,1.04561,1.04561,0.11618,-0.81326,1.04561,-0.81326,-0.81326,1.04561,0.11618,0.11618,1.97505,-1.74269,-0.81326,0.11618
amr,-0.71314,-0.71314,-1.52817,-0.71314,0.9169,0.9169,0.10188,0.10188,0.10188,-0.71314,1.73192,1.73192,0.10188,0.9169,-0.71314,0.10188,0.9169,0.9169,0.10188,0.10188,-1.52817,-2.34319,0.10188,0.10188
ani,1.21423,-0.24285,0.48569,-0.24285,-0.97139,-0.24285,-0.97139,0.48569,-1.69992,1.94277,1.21423,0.48569,-0.97139,1.94277,-0.97139,-0.24285,1.21423,0.48569,0.48569,-0.24285,-0.24285,-0.97139,-0.97139,-0.97139
anm,1.12196,-1.37128,-0.87263,-0.37399,1.12196,0.62331,-0.87263,0.12466,-0.37399,1.12196,1.6206,0.62331,-1.37128,0.62331,-1.37128,-0.37399,0.12466,0.62331,0.12466,0.62331,1.6206,-1.86993,-0.37399,-0.87263
ari,1.70627,0.38529,-0.49537,-0.49537,-0.05504,-1.37602,0.38529,1.70627,0.38529,1.70627,2.1466,0.38529,-0.05504,-0.49537,-0.49537,-0.49537,0.82561,-0.49537,-0.9357,-0.9357,-0.49537,-1.37602,-0.9357,-0.49537
ash,1.16453,0.23291,-0.69872,-0.69872,-0.69872,0.23291,0.23291,1.16453,0.23291,0.23291,2.09616,1.16453,1.16453,1.16453,0.23291,-1.63034,0.23291,0.23291,-0.69872,-1.63034,-0.69872,-0.69872,-0.69872,-1.63034
ath,2.50161,0.65427,-0.2694,1.57794,-0.2694,-0.2694,-0.2694,-0.2694,-0.2694,-0.2694,0.65427,0.65427,0.65427,0.65427,0.65427,-2.11675,-0.2694,0.65427,-0.2694,-2.11675,-1.19308,-0.2694,-0.2694,-0.2694
bai,-0.90867,-1.48256,-0.33477,0.23912,-0.33477,-0.90867,-0.90867,0.81302,1.96081,1.38691,0.81302,0.81302,-0.90867,1.38691,0.23912,-0.90867,0.23912,-0.90867,0.81302,-0.90867,1.38691,-1.48256,0.23912,-0.33477
biv,0.24113,-0.40189,0.24113,0.88416,0.88416,0.24113,0.88416,1.52719,-1.68794,1.52719,-0.40189,-0.40189,-1.68794,0.24113,0.24113,-1.04492,1.52719,0.24113,-0.40189,-1.04492,-1.04492,-1.68794,0.24113,0.88416
chi,0.55377,-1.10755,-0.27689,1.38444,1.38444,-1.10755,-1.93821,0.55377,-0.27689,-1.10755,1.38444,0.55377,0.55377,-0.27689,-0.27689,-1.10755,-0.27689,1.38444,0.55377,0.55377,1.38444,-1.10755,-1.10755,-0.27689
chw,1.18715,-0.23743,0.47486,0.47486,1.89943,-0.94972,-0.94972,-0.23743,-1.662,-0.94972,2.61172,0.47486,-0.23743,0.47486,-0.23743,-0.94972,-0.94972,1.18715,0.47486,-0.23743,-0.23743,-0.23743,-0.23743,-0.94972
deb,-0.8165,-0.20412,-2.04124,-1.42887,-0.20412,0.40825,1.02062,0.40825,1.63299,1.02062,1.02062,0.40825,1.63299,-0.20412,-0.8165,-0.20412,0.40825,-0.8165,-1.42887,0.40825,0.40825,1.02062,-0.20412,-1.42887
